gw,player_id,player_name,team,pos,eo,start_rate,cap_rate
1,1,David Raya Martín,ARS,GKP,0.1754,0.1754,0.0
1,2,Kepa Arrizabalaga Revuelta,ARS,GKP,0.0175,0.0175,0.0
1,515,Morgan Gibbs-White,NFO,MID,0.0526,0.0526,0.0
1,516,Callum Hudson-Odoi,NFO,MID,0.0175,0.0175,0.0
1,5,Gabriel dos Santos Magalhães,ARS,DEF,0.0877,0.0877,0.0
1,6,William Saliba,ARS,DEF,0.1228,0.1228,0.0
1,517,Elliot Anderson,NFO,MID,0.0175,0.0175,0.0
1,8,Jurriën Timber,ARS,DEF,0.0175,0.0175,0.0
1,7,Riccardo Calafiori,ARS,DEF,0.0175,0.0175,0.0
1,10,Myles Lewis-Skelly,ARS,DEF,0.0,0.0,0.0
1,525,Chris Wood,NFO,FWD,0.1754,0.1754,0.0
1,13,Brayden Clarke,ARS,DEF,0.0,0.0,0.0
1,16,Bukayo Saka,ARS,MID,0.0175,0.0175,0.0
1,531,Daniel Ballard,SUN,DEF,0.0877,0.0877,0.0
1,532,Trai Hume,SUN,DEF,0.0351,0.0351,0.0
1,21,Declan Rice,ARS,MID,0.0526,0.0526,0.0
1,22,Mikel Merino Zazón,ARS,MID,0.0,0.0,0.0
1,26,Martín Zubimendi Ibáñez,ARS,MID,0.0526,0.0526,0.0
1,541,Reinildo Mandava,SUN,DEF,0.0702,0.0702,0.0
1,543,Simon Adingra,SUN,MID,0.0,0.0,0.0
1,33,Marco Bizot,AVL,GKP,0.0702,0.0702,0.0
1,36,Matty Cash,AVL,DEF,0.0702,0.0702,0.0
1,37,Lucas Digne,AVL,DEF,0.0351,0.0351,0.0
1,38,Ezri Konsa Ngoyo,AVL,DEF,0.1754,0.1754,0.0
1,39,Ian Maatsen,AVL,DEF,0.0175,0.0175,0.0
1,40,Tyrone Mings,AVL,DEF,0.0351,0.0351,0.0
1,41,Pau Torres,AVL,DEF,0.0175,0.0175,0.0
1,43,Álex Moreno Lopera,AVL,DEF,0.0175,0.0175,0.0
1,44,Lamare Bogarde,AVL,DEF,0.0175,0.0175,0.0
1,557,Harrison Jones,SUN,MID,0.0,0.0,0.0
1,47,Morgan Rogers,AVL,MID,0.0526,0.0526,0.0
1,561,Eliezer Mayenda Dossou,SUN,FWD,0.0175,0.0175,0.0
1,565,Guglielmo Vicario,TOT,GKP,0.2632,0.2632,0.0
1,54,John McGinn,AVL,MID,0.0175,0.0175,0.0
1,567,Antonín Kinský,TOT,GKP,0.0175,0.0175,0.0
1,568,Pedro Porro Sauceda,TOT,DEF,0.3509,0.3509,0.0
1,569,Cristian Romero,TOT,DEF,0.1404,0.1404,0.0
1,570,Kevin Danso,TOT,DEF,0.0,0.0,0.0
1,59,Amadou Onana,AVL,MID,0.0175,0.0175,0.0
1,573,Djed Spence,TOT,DEF,0.0702,0.0702,0.0
1,575,Micky van de Ven,TOT,DEF,0.2105,0.2105,0.0
1,64,Ollie Watkins,AVL,FWD,0.0877,0.0877,0.0
1,67,Đorđe Petrović,BOU,GKP,0.0526,0.0526,0.0
1,580,Brennan Johnson,TOT,MID,0.0526,0.0526,0.0
1,582,Mohammed Kudus,TOT,MID,0.4561,0.4561,0.0
1,72,Marcos Senesi Barón,BOU,DEF,0.0526,0.0526,0.0
1,593,Pape Matar Sarr,TOT,MID,0.0351,0.0351,0.0
1,82,Antoine Semenyo,BOU,MID,0.7719,0.6316,0.0702
1,84,Marcus Tavernier,BOU,MID,0.3158,0.3158,0.0
1,597,Richarlison de Andrade,TOT,FWD,0.1579,0.1579,0.0
1,596,Dominic Solanke-Mitchell,TOT,FWD,0.0175,0.0175,0.0
1,600,Alphonse Areola,WHU,GKP,0.0351,0.0351,0.0
1,603,El Hadji Malick Diouf,WHU,DEF,0.1053,0.1053,0.0
1,605,Maximilian Kilman,WHU,DEF,0.0175,0.0175,0.0
1,97,Francisco Evanilson de Lima Barbosa,BOU,FWD,0.386,0.386,0.0
1,610,Aaron Wan-Bissaka,WHU,DEF,0.1579,0.1579,0.0
1,100,Eli Junior Kroupi,BOU,FWD,0.0175,0.0175,0.0
1,612,Lucas Tolentino Coelho de Lima,WHU,MID,0.0175,0.0175,0.0
1,101,Caoimhín Kelleher,BRE,GKP,0.0,0.0,0.0
1,614,James Ward-Prowse,WHU,MID,0.0175,0.0175,0.0
1,105,Hákon Rafn Valdimarsson,BRE,GKP,0.0175,0.0175,0.0
1,110,Michael Kayode,BRE,DEF,0.0,0.0,0.0
1,111,Ethan Pinnock,BRE,DEF,0.0,0.0,0.0
1,624,Jarrod Bowen,WHU,FWD,0.0526,0.0526,0.0
1,625,Niclas Füllkrug,WHU,FWD,0.0175,0.0175,0.0
1,113,Sepp van den Berg,BRE,DEF,0.0,0.0,0.0
1,630,Tom King,EVE,GKP,0.0,0.0,0.0
1,119,Bryan Mbeumo,MUN,MID,0.0175,0.0175,0.0
1,632,Matt Doherty,WOL,DEF,0.0,0.0,0.0
1,136,Igor Thiago Nascimento Rodrigues,BRE,FWD,0.0175,0.0175,0.0
1,137,Iwan Morgan,BRE,FWD,0.0175,0.0175,0.0
1,139,Bart Verbruggen,BHA,GKP,0.0702,0.0702,0.0
1,654,Jørgen Strand Larsen,WOL,FWD,0.0,0.0,0.0
1,145,Maxim De Cuyper,BHA,DEF,0.0526,0.0526,0.0
1,661,Hugo Ekitiké,LIV,FWD,1.3684,0.7544,0.3509
1,150,Tariq Lamptey,BHA,DEF,0.0175,0.0175,0.0
1,663,Jhon Arias,WOL,MID,0.0,0.0,0.0
1,152,Joël Veltman,BHA,DEF,0.0,0.0,0.0
1,666,Viktor Gyökeres,ARS,FWD,0.0175,0.0175,0.0
1,668,Granit Xhaka,SUN,MID,0.0351,0.0351,0.0
